Variable,Category,Explanation
Target,facemodel_ID,"target image - first character designates race, second character designates gender, followed by a unique identifier (Ex: AF-200)"
Race,facemodel_details,target's self-identified race
Gender,facemodel_details,target gender
Age,facemodel_details,Estimate the approximate age of this person (in years)?
NumberofRaters,rater_details,number of respondents upon which norming data is based
Female_prop,rater_details,number of participants who indicated male gender divided by number of people who rated the target
Male_prop,rater_details,number of participants who indicated female gender divided by number of people who rated the target
Asian_prop,rater_details,number of participants who indicated Asian race divided by number of people who rated the target
Black_prop,rater_details,number of participants who indicated Black race divided by number of people who rated the target
Latino_prop,rater_details,number of participants who indicated Hispanic/Latino race divided by number of people who rated the target
Multi_prop,rater_details,number of participants who indicated Biracial/Multiracial race divided by number of people who rated the target
Other_prop,rater_details,number of participants who indicated Other race divided by number of people who rated the target
White_prop,rater_details,number of participants who indicated White race divided by number of people who rated the target
Afraid,subj_assessmnt,"Now, consider the person pictured above and rate him/her with respect to other people of the same race and gender.  (For example, if you indicated that the person was Asian and male, consider this person on the following traits relative to other Asian males in the United States.) - Fearful/Afraid (1-7 Likert, 1 = Not at all; 7 = Extremely)"
Angry,subj_assessmnt,"Now, consider the person pictured above and rate him/her with respect to other people of the same race and gender.  (For example, if you indicated that the person was Asian and male, consider this person on the following traits relative to other Asian males in the United States.) - Angry (1-7 Likert, 1 = Not at all; 7 = Extremely)"
Attractive,subj_assessmnt,"Now, consider the person pictured above and rate him/her with respect to other people of the same race and gender.  (For example, if you indicated that the person was Asian and male, consider this person on the following traits relative to other Asian males in the United States.) - Attractive (1-7 Likert, 1 = Not at all; 7 = Extremely)"
Babyface,subj_assessmnt,"Now, consider the person pictured above and rate him/her with respect to other people of the same race and gender.  (For example, if you indicated that the person was Asian and male, consider this person on the following traits relative to other Asian males in the United States.) - Baby-faced (1-7 Likert, 1 = Not at all; 7 = Extremely)"
