Target,Race,Gender,Age,NumberofRaters,Female_prop,Male_prop,Asian_prop,Black_prop,Latino_prop,Multi_prop,Other_prop,White_prop,Afraid,Angry,Attractive,Babyface,Disgusted,Dominant,Feminine,Happy,Masculine,Prototypic,Sad,Suitability,Surprised,Threatening,Trustworthy,Unusual,Luminance_median,Nose_Width,Nose_Length,Lip_Thickness,Face_Length,R_Eye_H,L_Eye_H,Avg_Eye_Height,R_Eye_W,L_Eye_W,Avg_Eye_Width,Face_Width_Cheeks,Face_Width_Mouth,Forehead,Pupil_Top_R,Pupil_Top_L,Asymmetry_pupil_top,Pupil_Lip_R,Pupil_Lip_L,Asymmetry_pupil_lip,BottomLip_Chin,Midcheek_Chin_R,Midcheek_Chin_L,Cheeks_avg,Midbrow_Hairline_R,Midbrow_Hairline_L,Faceshape,Heartshapeness,Noseshape,LipFullness,EyeShape,EyeSize,UpperHeadLength,MidfaceLength,ChinLength,ForeheadHeight,CheekboneHeight,CheekboneProminence,FaceRoundness,fWHR
AF-200,A,F,32.57142857,28,1,0,1,0,0,0,0,0,2.035714286,1.571428571,4.111111111,2.857142857,1.392857143,1.928571429,5.62962963,2.928571429,1.357142857,3.659574468,1.892857143,.,2.821428571,1.321428571,3.925925926,2.518518519,174,230.5,250.5,135.5,1071,63.5,67,65.25,163,159.5,161.25,676,584.5,443.5,424.5,428,3.5,350,350,0,140,425,406.5,415.75,277.5,289.5,0.631185808,1.156544055,0.920159681,0.126517274,0.404651163,0.06092437,0.414098973,0.326797386,0.130718954,0.264705882,0.388188609,91.5,0.545751634,1.921145564
AF-201,A,F,23.66666667,27,1,0,0.962962963,0,0,0.037037037,0,0,1.814814815,3.111111111,3.111111111,2.481481481,2.592592593,2.111111111,4.111111111,1.555555556,1.666666667,3.893617021,3.96,.,1.37037037,1.851851852,3.538461538,2.038461538,172,233.5,235,129,1110,44,49,46.5,144,138.5,141.25,688,542,460,432.5,453,20.5,366,365,1,160.5,427,425,426,319.5,348.5,0.61981982,1.269372694,0.993617021,0.116216216,0.32920354,0.041891892,0.414414414,0.329279279,0.144594595,0.300900901,0.383783784,146,0.488288288,1.901128869
AF-202,A,F,24.44827586,29,0.827586207,0.172413793,0.310344828,0.068965517,0.137931034,0.448275862,0.034482759,0,1.464285714,1.862068966,3,2.344827586,1.551724138,2.862068966,3.206896552,2.379310345,3,1.808510638,1.931034483,.,1.551724138,2.034482759,3.379310345,2.413793103,153.5,277.5,268,141.5,1245.5,66.5,62,64.25,177,182,179.5,657.5,599.5,512,492,490,2,385.5,387.5,2,216,500,489,494.5,367.5,376,0.527900442,1.096747289,1.035447761,0.113608992,0.357938719,0.051585709,0.411079888,0.310317142,0.173424328,0.298474508,0.397029305,58,0.481332798,1.888248848
AF-203,A,F,22.75862069,29,1,0,0.75862069,0,0.068965517,0.172413793,0,0,2.586206897,1.655172414,3.275862069,3.862068966,1.620689655,1.75,5,2.571428571,1.724137931,2.531914894,2.344827586,.,1.931034483,1.178571429,3.793103448,2.24137931,175.5,233.5,240,129.5,1083.5,68,70.5,69.25,155,157.5,156.25,629.5,542,384,402,393,9,370,375,5,184,462.5,450,456.25,298,292,0.58098754,1.161439114,0.972916667,0.119520074,0.4432,0.063913244,0.354407014,0.343793263,0.169820028,0.272265805,0.421089063,87.5,0.500230734,1.863718796
AF-204,A,F,30.13793103,29,1,0,0.827586207,0,0.068965517,0.103448276,0,0,2.551724138,1.586206897,3.172413793,2.068965517,1.655172414,1.75862069,4.62962963,1.275862069,1.482758621,2.574468085,3.517241379,.,1.137931034,1.206896552,3.310344828,1.517241379,168.5,252.5,257.5,100,1179,66,60,63,150,141.5,145.75,679,605.5,517.5,475.5,480,4.5,335,356,21,212.5,433,444,438.5,339,354,0.57591179,1.121387283,0.980582524,0.084817642,0.432246998,0.053435115,0.438931298,0.293044953,0.180237489,0.29389313,0.37192536,73.5,0.513570823,1.935782576
AF-205,A,F,26.59259259,26,1,0,0.846153846,0,0,0.153846154,0,0,2.148148148,1.807692308,4.333333333,2.148148148,2.111111111,1.925925926,5.076923077,2,1.37037037,3.565217391,2.888888889,.,1.777777778,1.423076923,3.518518519,2,165.5,205,268.5,125,1123,69.5,64.5,67,151,152.5,151.75,650,580.5,459,423.5,426,2.5,398,393,5,178.5,459.5,457.5,458.5,299.5,308,0.578806768,1.119724376,0.763500931,0.111308994,0.441515651,0.059661621,0.408726625,0.352181656,0.158949243,0.270480855,0.408281389,69.5,0.516918967,1.718555995
AF-206,A,F,26.52380952,20,0.857142857,0.142857143,1,0,0,0,0,0,1.80952381,2.619047619,2.714285714,2.238095238,2.285714286,2.857142857,3.761904762,1.666666667,2.428571429,3.782608696,2.619047619,.,1.380952381,2.047619048,3.428571429,1.952380952,178,246,254,108,1053.5,46.5,47,46.75,148.5,148.5,148.5,672,562.5,404.5,377,370.5,6.5,381.5,377.5,4,181.5,428,413,420.5,266,269,0.637873754,1.194666667,0.968503937,0.102515425,0.314814815,0.04437589,0.383958234,0.360227812,0.172282867,0.25391552,0.399145705,109.5,0.533934504,1.847015485
AF-207,A,F,28.4137931,28,1,0,0.035714286,0.428571429,0.035714286,0.357142857,0.107142857,0.035714286,1.620689655,3.827586207,2.137931034,2.551724138,3.034482759,3.896551724,3.482758621,1.620689655,2.655172414,1.446808511,2.275862069,.,1.517241379,3.206896552,2.862068966,3.034482759,133,237.5,206.5,115,1188.5,54,55.5,54.75,172,169.5,170.75,660.5,657.5,520.5,514.5,528.5,14,329,322,7,235,469,449,459,380,403,0.555742533,1.004562738,1.150121065,0.096760623,0.320644217,0.04606647,0.437946992,0.273874632,0.197728229,0.329406815,0.386201094,3,0.553218342,1.954527981
AF-208,A,F,28.53846154,26,1,0,0.230769231,0.115384615,0.384615385,0.230769231,0.038461538,0,2,2.846153846,3.038461538,2.653846154,2.115384615,3.461538462,3.576923077,1.653846154,2.115384615,1.553191489,2.769230769,.,1.615384615,2.32,3.192307692,2.307692308,135.5,240.5,211.5,86.5,1164.5,67.5,66.5,67,154.5,157,155.75,692.5,642.5,499.5,454,469,15,349,340,9,250,451,439,445,324.5,348,0.594675827,1.077821012,1.137115839,0.074280807,0.430176565,0.057535423,0.428939459,0.295835122,0.214684414,0.288750537,0.382138257,50,0.551738944,2.05312046
AF-209,A,F,22.56,25,1,0,0.08,0.08,0.4,0.32,0.12,0,1.36,1.64,4.08,3.28,1.6,2.4,4.84,3.083333333,1.869565217,1.723404255,2.32,.,1.44,1.36,3.88,2.4,142,232.5,266.5,131,1172.5,62.5,69.5,66,155.5,156.5,156,656.5,534,452,432,421,11,382.5,383.5,1,221.5,485.5,476.5,481,312.5,314,0.559914712,1.229400749,0.872420263,0.111727079,0.423076923,0.056289979,0.385501066,0.326652452,0.18891258,0.267164179,0.410234542,122.5,0.4554371,1.801706737
