W_image,B_image,survived_post_sic
CFD-WM-001-014-N.jpg,CFD-BM-001-014-N.jpg,B
CFD-WM-002-009-N.jpg,CFD-BM-002-013-N.jpg,W
CFD-WM-003-002-N.jpg,CFD-BM-003-003-N.jpg,B
CFD-WM-004-010-N.jpg,CFD-BM-004-002-N.jpg,B
CFD-WM-006-002-N.jpg,CFD-BM-005-003-N.jpg,B
CFD-WM-009-002-N.jpg,CFD-BM-009-002-N.jpg,B
CFD-WM-010-001-N.jpg,CFD-BM-010-003-N.jpg,B
CFD-WM-011-002-N.jpg,CFD-BM-011-016-N.jpg,B
CFD-WM-012-001-N.jpg,CFD-BM-012-018-N.jpg,B
CFD-WM-013-001-N.jpg,CFD-BM-013-002-N.jpg,B
CFD-WM-014-002-N.jpg,CFD-BM-015-015-N.jpg,B
CFD-WM-015-002-N.jpg,CFD-BM-016-036-N.jpg,B
CFD-WM-016-001-N.jpg,CFD-BM-017-021-N.jpg,B
CFD-WM-017-002-N.jpg,CFD-BM-018-001-N.jpg,W
CFD-WM-018-002-N.jpg,CFD-BM-019-002-N.jpg,B
CFD-WM-019-003-N.jpg,CFD-BM-020-001-N.jpg,W
CFD-WM-020-001-N.jpg,CFD-BM-021-021-N.jpg,B
CFD-WM-021-001-N.jpg,CFD-BM-022-022-N.jpg,W
CFD-WM-022-001-N.jpg,CFD-BM-023-029-N.jpg,W
CFD-WM-023-001-N.jpg,CFD-BM-024-001-N.jpg,B
CFD-WM-024-015-N.jpg,CFD-BM-025-035-N.jpg,W
CFD-WM-025-002-N.jpg,CFD-BM-026-002-N.jpg,B
CFD-WM-026-001-N.jpg,CFD-BM-027-001-N.jpg,B
CFD-WM-028-003-N.jpg,CFD-BM-028-002-N.jpg,B
CFD-WM-029-023-N.jpg,CFD-BM-029-024-N.jpg,B
CFD-WM-031-003-N.jpg,CFD-BM-030-003-N.jpg,B
CFD-WM-032-001-N.jpg,CFD-BM-031-003-N.jpg,B
CFD-WM-033-025-N.jpg,CFD-BM-032-024-N.jpg,B
CFD-WM-034-030-N.jpg,CFD-BM-033-003-N.jpg,W
CFD-WM-035-032-N.jpg,CFD-BM-034-031-N.jpg,W
CFD-WM-036-031-N.jpg,CFD-BM-036-003-N.jpg,B
CFD-WM-037-025-N.jpg,CFD-BM-037-033-N.jpg,W
CFD-WM-038-003-N.jpg,CFD-BM-038-001-N.jpg,B
CFD-WM-039-018-N.jpg,CFD-BM-039-029-N.jpg,B
CFD-WM-040-022-N.jpg,CFD-BM-040-002-N.jpg,B
CFD-WM-041-021-N.jpg,CFD-BM-041-035-N.jpg,B
CFD-WM-200-034-N.jpg,CFD-BM-043-071-N.jpg,W
CFD-WM-201-063-N.jpg,CFD-BM-044-001-N.jpg,B
CFD-WM-202-107-N.jpg,CFD-BM-045-004-N.jpg,B
